_id,stockTicker,stockName,currentPrice,marketCap,sector
702,CYHHZ,"Community Health Systems, Inc.",0.0076,0,Health Care
703,CTBI,"Community Trust Bancorp, Inc.",47.8,845712637.4,Finance
704,CWBC,Community West Bancshares,11.995,98101575.305,Finance
705,CVLT,"Commvault Systems, Inc.",53.55,2406658504.95,Technology
706,CGEN,Compugen Ltd.,2.7,138055741.2,Health Care
707,CPSI,"Computer Programs and Systems, Inc.",29.75,409246622.75,Technology
708,CTG,"Computer Task Group, Incorporated",5.3,82106624.8,Technology
709,CHCI,"Comstock Holding Companies, Inc.",1.381,4927461.859,Capital Goods
710,CMTL,Comtech Telecommunications Corp.,22.29,526212623.85,Technology
711,CNAT,Conatus Pharmaceuticals Inc.,5.3,159028948.6,Health Care
712,CNCE,"Concert Pharmaceuticals, Inc.",20.46,465927477.84,Health Care
713,CXRX,Concordia International Corp.,0.72,36923688.72,Health Care
714,CDOR,"Condor Hospitality Trust, Inc.",10.26,119828684.34,Consumer Services
715,CFMS,"ConforMIS, Inc.",1.3,59187074.7,Health Care
716,CNFR,"Conifer Holdings, Inc.",6,51110928,Finance
717,CNMD,CONMED Corporation,63.35,1769610284.4,Health Care
718,CTWS,"Connecticut Water Service, Inc.",53.48,645412630.52,Public Utilities
719,CNOB,"ConnectOne Bancorp, Inc.",29.5,946119870,Finance
720,CONN,"Conn&#39;s, Inc.",31.55,989741830.55,Consumer Services
721,CNSL,"Consolidated Communications Holdings, Inc.",12.41,879075281.22,Public Utilities
722,CWCO,Consolidated Water Co. Ltd.,13.2,196702585.2,Public Utilities
723,CNAC,Constellation Alpha Capital Corp.,9.78,181223400,Finance
724,CNACR,Constellation Alpha Capital Corp.,0.449,0,Finance
725,CNACU,Constellation Alpha Capital Corp.,10.41,192897300,Finance
726,CNACW,Constellation Alpha Capital Corp.,0.25,0,Finance
727,CPSS,"Consumer Portfolio Services, Inc.",4.51,98205962.58,Finance
728,CFRX,ContraFect Corporation,1.44,106064648.64,Health Care
729,CTRV,ContraVir Pharmaceuticals Inc,0.2761,21770741.4969,Health Care
730,CTRL,Control4 Corporation,27.6,697355317.2,Capital Goods
731,CPRT,"Copart, Inc.",43.62,10089479302.26,Consumer Durables
732,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",7.1,394784331.7,Health Care
733,CORT,Corcept Therapeutics Incorporated,24.29,2772075870.69,Health Care
734,CORE,"Core-Mark Holding Company, Inc.",21.77,1005587779.42,Consumer Non-Durables
735,CORI,"Corium International, Inc.",12.54,452938229.04,Health Care
736,CSOD,"Cornerstone OnDemand, Inc.",40.74,2358901039.74,Technology
737,CRVL,CorVel Corp.,53.4,1006201354.8,Finance
738,CRVS,"Corvus Pharmaceuticals, Inc.",8.24,173379900,Health Care
739,CSGP,"CoStar Group, Inc.",350.02,12651644409.8,Miscellaneous
740,COST,Costco Wholesale Corporation,193.47,84953812862.37,Consumer Services
741,CPAH,CounterPath Corporation,4.4,26071438.8,Technology
742,ICBK,"County Bancorp, Inc.",28.8,192193372.8,Finance
743,COUP,Coupa Software Incorporated,38.93,2142960011.42,Technology
744,CVTI,"Covenant Transportation Group, Inc.",30,548716410,Transportation
745,COWN,Cowen Inc.,13.3,413466104.1,Finance
746,COWNZ,Cowen Inc.,25.12,0,Finance
747,PMTS,CPI Card Group Inc.,2.73,30397870.23,Finance
748,CPSH,CPS Technologies Corp.,1.76,23238047.36,Capital Goods
749,CRAI,"CRA International,Inc.",46.32,375615133.2,Miscellaneous
750,CBRL,"Cracker Barrel Old Country Store, Inc.",175.9,4220684088.7,Consumer Services
751,BREW,"Craft Brew Alliance, Inc.",19.45,375317333.45,Consumer Non-Durables
752,CRAY,Cray Inc,24.35,984665835.7,Technology
753,CACC,Credit Acceptance Corporation,326.23,6299570134.53,Finance
754,CREE,"Cree, Inc.",34.51,3449625777.29,Technology
755,CRESY,Cresud S.A.C.I.F. y A.,21.37,796228548.38,Finance
756,CRSP,CRISPR Therapeutics AG,38.48,1578424664.96,Health Care
757,CRTO,Criteo S.A.,23.2,1487061860.8,Technology
758,CROX,"Crocs, Inc.",13.78,960022656.06,Consumer Non-Durables
759,CCRN,"Cross Country Healthcare, Inc.",14,510732754,Technology
760,CRWS,"Crown Crafts, Inc.",7.2,72617500.8,Basic Industries
761,CYRX,"CryoPort, Inc.",8.73,230521822.11,Transportation
762,CYRXW,"CryoPort, Inc.",5.25,0,Transportation
763,CSGS,"CSG Systems International, Inc.",45.26,1517271437.52,Technology
764,CCLP,CSI Compressco LP,6.58,247484571.46,Energy
765,CSPI,CSP Inc.,17.75,70558184.75,Technology
766,CSWI,"CSW Industrials, Inc.",47.25,754569411.75,Basic Industries
767,CSX,CSX Corporation,56.58,50566852036.14,Transportation
768,CTIC,CTI BioPharma Corp.,2.75,118205972.5,Health Care
769,CTIB,CTI Industries Corporation,4.75,16744828.25,Basic Industries
770,CTRP,"Ctrip.com International, Ltd.",47.25,21644262990,Miscellaneous
771,CUE,"Cue Biopharma, Inc.",14.95,308576805.55,Health Care
772,CUI,"CUI Global, Inc.",2.74,77829141.04,Consumer Non-Durables
773,CPIX,Cumberland Pharmaceuticals Inc.,6.91,108819626.67,Health Care
774,CRIS,"Curis, Inc.",0.5997,98341057.8735,Health Care
775,CUTR,"Cutera, Inc.",50.75,703139524.5,Health Care
776,CVBF,CVB Financial Corporation,23.6,2599697081.6,Finance
777,CVV,CVD Equipment Corporation,10.08,64611701.28,Technology
778,CYAN,Cyanotech Corporation,4.05,23262722.1,Consumer Durables
779,CYBR,CyberArk Software Ltd.,44.03,1515654420.63,Technology
780,CYBE,CyberOptics Corporation,15.3,106755979.5,Capital Goods
781,CYCC,"Cyclacel Pharmaceuticals, Inc.",1.63,19404369.23,Health Care
782,CYCCP,"Cyclacel Pharmaceuticals, Inc.",6,2011638,Health Care
783,CBAY,CymaBay Therapeutics Inc.,12.08,529878581.68,Health Care
784,CY,Cypress Semiconductor Corporation,17.16,5725687350.24,Technology
785,CYRN,CYREN Ltd.,2.15,107152598.7,Technology
786,CONE,CyrusOne Inc,56.93,5198221370,Consumer Services
787,CYTK,"Cytokinetics, Incorporated",9.1,490350487.9,Health Care
788,CTMX,"CytomX Therapeutics, Inc.",27.38,1051628179.88,Health Care
789,CYTX,Cytori Therapeutics Inc,0.3972,13949429.652,Health Care
790,CYTXW,Cytori Therapeutics Inc,0.0265,0,Health Care
791,CTSO,Cytosorbents Corporation,7.8,223792335,Health Care
792,CYTR,CytRx Corporation,1.84,50853246.56,Health Care
793,DJCO,Daily Journal Corp. (S.C.),234,323094564,Consumer Services
794,DAKT,"Daktronics, Inc.",9.41,418501949.11,Consumer Durables
795,DARE,"Dare Bioscience, Inc.",2.28,13787527.08,Health Care
796,DRIO,DarioHealth Corp.,1.535,21241656.955,Health Care
797,DRIOW,DarioHealth Corp.,0.23,0,Health Care
798,DZSI,"DASAN Zhone Solutions, Inc.",9.51,155839942.05,Public Utilities
799,DSKE,"Daseke, Inc.",13.59,661833000,Consumer Services
800,DSKEW,"Daseke, Inc.",1.77,0,Consumer Services
801,DAIO,Data I/O Corporation,11.51,94854473.99,Capital Goods
802,DWCH,Datawatch Corporation,11.35,140026573.05,Technology
803,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",48.5,1973676217.5,Consumer Services
804,DTEA,DAVIDsTEA Inc.,3.8577,99700771.2855,Consumer Non-Durables
805,DFNL,Davis Select Financial ETF,25.498,0,n/a
806,DUSA,Davis Select U.S. Equity ETF,24.86,0,n/a
807,DWLD,Davis Select Worldwide ETF,27.89,0,n/a
808,DWSN,Dawson Geophysical Company,6.78,147248162.04,Energy
809,DBVT,DBV Technologies S.A.,23.2,548221289.6,Health Care
810,DCPH,"Deciphera Pharmaceuticals, Inc.",26.83,874434935.38,Health Care
811,DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",17.65,374518421.1,Consumer Services
812,TACO,"Del Taco Restaurants, Inc.",12.71,491587644.14,Consumer Services
813,TACOW,"Del Taco Restaurants, Inc.",3.3835,0,Consumer Services
814,DMPI,"DelMar Pharmaceuticals, Inc.",1.51,32618227.25,Health Care
815,DELT,Delta Technology Holdings Limited,1.27,12778332.33,Basic Industries
816,DNLI,Denali Therapeutics Inc.,21.18,1863405280.5,Health Care
817,DENN,Denny&#39;s Corporation,15.21,992951235.9,Consumer Services
818,XRAY,DENTSPLY SIRONA Inc.,60.73,13948642942.11,Health Care
819,DEPO,"Depomed, Inc.",7.23,455587250.73,Health Care
820,DERM,"Dermira, Inc.",28.36,1181878553.68,Health Care
821,DEST,Destination Maternity Corporation,2.56,37400025.6,Consumer Services
822,DXLG,"Destination XL Group, Inc.",2.575,125367770.975,Consumer Services
823,DSWL,"Deswell Industries, Inc.",2.69,42731292.91,Consumer Non-Durables
824,DTRM,"Determine, Inc. ",1.82,26952329.04,Technology
825,DXCM,"DexCom, Inc.",57.87,5029085001.15,Health Care
826,DHXM,DHX Media Ltd.,3.95,132663005.45,n/a
827,DHIL,"Diamond Hill Investment Group, Inc.",210.71,731008406.73,Finance
828,FANG,"Diamondback Energy, Inc.",126.64,12431905478.96,Energy
829,DCIX,Diana Containerships Inc.,2.9,2195859.7,Transportation
830,DRNA,"Dicerna Pharmaceuticals, Inc.",9.79,505572615.02,Health Care
831,DFBG,Differential Brands Group Inc.,1.16,15463784.84,Consumer Non-Durables
832,DFFN,Diffusion Pharmaceuticals Inc.,0.65,19189124.5,Health Care
833,DGII,Digi International Inc.,10.4,278680417.6,Technology
834,DMRC,Digimarc Corporation,30.7,357967771.6,Technology
835,DRAD,Digirad Corporation,2.3,46121863.2,Health Care
836,DGLY,"Digital Ally, Inc.",2.15,15006421.65,Technology
837,APPS,"Digital Turbine, Inc.",2.04,146973717.6,Miscellaneous
838,DCOM,"Dime Community Bancshares, Inc.",19.25,720317097.5,Finance
839,DIOD,Diodes Incorporated,28.25,1395271172.5,Technology
840,DISCA,"Discovery Communications, Inc.",25.28,9582516012.16,Consumer Services
841,DISCB,"Discovery Communications, Inc.",32.3275,12253907689.205,Consumer Services
842,DISCK,"Discovery Communications, Inc.",24.17,9161764715.74,Consumer Services
843,DISH,DISH Network Corporation,47.16,21993415314.12,Consumer Services
844,DVCR,Diversicare Healthcare Services Inc.,8.15,52631363.4,Health Care
845,SAUC,"Diversified Restaurant Holdings, Inc.",1.6,43010571.2,Consumer Services
846,DLHC,DLH Holdings Corp.,6.01,71413788.94,Technology
847,BOOM,DMC Global Inc.,22.9,338217931.8,Capital Goods
848,DNBF,DNB Financial Corp,34.4,146847855.2,Finance
849,DOGZ,Dogness (International) Corporation,4.2,109200000,Consumer Durables
850,DLTR,"Dollar Tree, Inc.",113.87,26998180276.92,Consumer Services
851,DLPN,"Dolphin Entertainment, Inc.",3.4,31847993.8,Consumer Services
852,DLPNW,"Dolphin Entertainment, Inc.",0.4,0,Consumer Services
853,DGICA,"Donegal Group, Inc.",17.51,480314183.5,Finance
854,DGICB,"Donegal Group, Inc.",15.25,418320462.5,Finance
855,DMLP,"Dorchester Minerals, L.P.",15.9,513248406.6,Energy
856,DORM,"Dorman Products, Inc.",75.6,2549415405.6,Capital Goods
857,DOVA,"Dova Pharmaceuticals, Inc.",31.49,807795870.93,Health Care
858,LYL,Dragon Victory International Limited,4.8,56000001.6,Finance
859,DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.8001,74235757.5,Finance
860,DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.62,0,Finance
861,DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.63,0,Finance
862,DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.7999,0,Finance
863,DCAR,"DropCar, Inc.",3.07,4823138.85,n/a
864,DRYS,DryShips Inc.,3.27,340978295.16,Transportation
865,DSPG,"DSP Group, Inc.",13.05,291314915.1,Technology
866,DLTH,Duluth Holdings Inc.,17.09,554763736.63,Consumer Services
867,DNKN,"Dunkin&#39; Brands Group, Inc.",64.28,5805956204.84,Consumer Services
868,DRRX,DURECT Corporation,1.19,176769895.89,Health Care
869,DXPE,"DXP Enterprises, Inc.",33.69,585930281.04,Capital Goods
870,DYSL,Dynasil Corporation of America,1.3999,23958732.7397,Capital Goods
871,DYNT,Dynatronics Corporation,2.6871,13222509.7056,Health Care
872,DVAX,Dynavax Technologies Corporation,16.45,996808328.95,Health Care
873,ETFC,E*TRADE Financial Corporation,54.1,14435388362.1,Finance
874,EBMT,"Eagle Bancorp Montana, Inc.",20.2,101009090,Finance
875,EGBN,"Eagle Bancorp, Inc.",63.8,2181013399.4,Finance
876,EGLE,Eagle Bulk Shipping Inc.,4.7,348378335,Transportation
877,EFBI,"Eagle Financial Bancorp, Inc.",15.896,25637195.968,Finance
878,EGRX,"Eagle Pharmaceuticals, Inc.",59.43,886792054.89,Health Care
879,EWBC,"East West Bancorp, Inc.",66.89,9668475316.79,Finance
880,EACQ,Easterly Acquisition Corp.,10.15,65505024.55,Capital Goods
881,EACQU,Easterly Acquisition Corp.,10.1,0,Capital Goods
882,EACQW,Easterly Acquisition Corp.,0.65,0,Capital Goods
883,EML,Eastern Company (The),26.65,166866709.75,Capital Goods
884,EAST,"Eastside Distilling, Inc.",5.3,25569314.7,Consumer Non-Durables
885,EASTW,"Eastside Distilling, Inc.",1.27,0,Consumer Non-Durables
886,EVGBC,Eaton Vance Global Income Builder NextShares,99.98,24995000,n/a
887,EVFTC,Eaton Vance NextShares Trust II,100.0167,0,n/a
888,OKDCC,Eaton Vance NextShares Trust II,100.0854,0,n/a
889,EVSTC,Eaton Vance Stock NextShares,99.98,22495500,n/a
890,EVLMC,Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShar,99.9034,34966190,n/a
891,EBAY,eBay Inc.,46.19,48248741002.79,Miscellaneous
892,EBAYL,eBay Inc.,25.77,0,Miscellaneous
893,EBIX,"Ebix, Inc.",83.05,2612385420.7,Technology
894,ELON,Echelon Corporation,4.8199,21787620.5053,Technology
895,ECHO,"Echo Global Logistics, Inc.",29.5,823274849,Transportation
896,SATS,EchoStar Corporation,61.96,5931233519.36,Technology
897,EEI,"Ecology and Environment, Inc.",10.8498,46671543.0792,Consumer Services
898,ESES,"Eco-Stim Energy Solutions, Inc.",1.4,104363063,Energy
899,EDAP,EDAP TMS S.A.,2.7499,80688374.2706,Health Care
900,EDGE,"Edge Therapeutics, Inc.",13.23,408267216,Health Care
901,EDGW,"Edgewater Technology, Inc.",5.95,83391879.9,Technology
902,EDIT,"Editas Medicine, Inc.",36.57,1658919497.64,Health Care
903,EDUC,Educational Development Corporation,22.8,93227695.2,Consumer Durables
904,EGAN,eGain Corporation,5.3,144334348.8,Technology
905,EGLT,Egalet Corporation,0.9195,42245217.438,Health Care
906,EHTH,"eHealth, Inc.",16.61,309316386.39,Finance
907,EIGR,"Eiger BioPharmaceuticals, Inc.",8.5,89389451,Health Care
908,EKSO,"Ekso Bionics Holdings, Inc.",1.47,88058697.72,Capital Goods
909,LOCO,"El Pollo Loco Holdings, Inc.",10.05,388461825.9,Consumer Services
910,EMITF,Elbit Imaging Ltd.,2.85,26193802.8,Consumer Services
911,ESLT,Elbit Systems Ltd.,149.56,6393373531.04,Capital Goods
912,ERI,"Eldorado Resorts, Inc.",34.65,2661972216.75,Consumer Services
913,ESIO,"Electro Scientific Industries, Inc.",19.56,655098317.04,Miscellaneous
914,EA,Electronic Arts Inc.,128.18,39469884565.54,Technology
915,EFII,"Electronics for Imaging, Inc.",29.42,1344226836.98,Technology
916,ELSE,"Electro-Sensors, Inc.",4.0601,13786154.8121,Capital Goods
917,ELEC,Electrum Special Acquisition Corporation,10.31,185890042.32,Finance
918,ELECU,Electrum Special Acquisition Corporation,10.6,191118763.2,Finance
919,ELECW,Electrum Special Acquisition Corporation,0.4,0,Finance
920,EBIO,"Eleven Biotherapeutics, Inc.",0.9525,30319975.2375,Health Care
921,DWAC,Elkhorn Commodity Rotation Strategy ETF,26.35,2635052.7,n/a
922,ESBK,Elmira Savings Bank NY (The),20.5,56496565,Finance
923,ELTK,Eltek Ltd.,4.1,8317063.2,Technology
924,EMCI,EMC Insurance Group Inc.,28.19,603254103.82,Finance
925,EMCF,Emclaire Financial Corp,30.9,69969620.1,Finance
926,EMKR,EMCORE Corporation,6.65,180878417.3,Technology
927,EMMS,Emmis Communications Corporation,3.42,43669901.34,Consumer Services
928,NYNY,"Empire Resorts, Inc.",30.9,1006030365.3,Consumer Services
929,ENTA,"Enanta Pharmaceuticals, Inc.",86.24,1651621737.92,Health Care
930,ECPG,Encore Capital Group Inc,41.45,1067150353.25,Finance
931,WIRE,Encore Wire Corporation,51.35,1068862984.8,Capital Goods
932,ENDP,Endo International plc,6.8,1518531548.4,Health Care
933,ECYT,"Endocyte, Inc.",3.16,151304064.28,Health Care
934,ELGX,"Endologix, Inc.",4.2,350505582,Health Care
935,NDRA,ENDRA Life Sciences Inc.,3.49,13635524.23,Health Care
936,NDRAW,ENDRA Life Sciences Inc.,1.15,0,Health Care
937,EIGI,"Endurance International Group Holdings, Inc.",8.275,1187390408.2,Technology
938,WATT,Energous Corporation,19.23,427169239.47,Technology
939,EFOI,"Energy Focus, Inc.",2.81,33317728.83,Consumer Durables
940,ERII,"Energy Recovery, Inc.",7.5,401962762.5,Technology
941,EXXI,"Energy XXI Gulf Coast, Inc.",6.81,226237917.87,Energy
942,ENG,ENGlobal Corporation,0.801,22038372.774,Consumer Services
943,ENPH,"Enphase Energy, Inc.",2.17,185605566.23,Technology
944,ESGR,Enstar Group Limited,208.65,4053722932.35,Finance
945,ENFC,Entegra Financial Corp.,28.85,198464660.35,Finance
946,ENTG,"Entegris, Inc.",33,4666092189,Consumer Non-Durables
947,ENTL,"Entellus Medical, Inc.",24.1,620050029.7,Health Care
948,ENTX,Entera Bio Ltd.,n/a,0,Health Care
949,EBTC,Enterprise Bancorp Inc,34.01,394851100.53,Finance
950,EFSC,Enterprise Financial Services Corporation,49.15,1133637377.5,Finance
951,EPZM,"Epizyme, Inc.",16.45,1139699230.6,Health Care
952,PLUS,ePlus inc.,77.85,1103248550.25,Technology
953,EQIX,"Equinix, Inc.",444.54,34778007664.38,Consumer Services
954,EQFN,Equitable Financial Corp.,10.76,36249708.32,Finance
955,EQBK,"Equity Bancshares, Inc.",36.23,529161141.61,Finance
956,ERIC,Ericsson,6.64,2065307572.08,Technology
957,ERIE,Erie Indemnity Company,119.14,6229814873.52,Finance
958,ERYP,Erytech Pharma S.A.,22.64,122021517.52,Health Care
959,ESCA,"Escalade, Incorporated",13,186817618,Consumer Non-Durables
960,ESPR,"Esperion Therapeutics, Inc.",69.22,1813408185.78,Health Care
961,ESQ,"Esquire Financial Holdings, Inc.",24.75,181331766,Finance
962,ESSA,"ESSA Bancorp, Inc.",16.16,188077481.28,Finance
963,EPIX,ESSA Pharma Inc.,0.2,5820377.8,Health Care
964,ESND,Essendant Inc.,9.12,343019643.36,Consumer Services
965,ESTR,"Estre Ambiental, Inc.",9.19,425037500,Public Utilities
966,ESTRW,"Estre Ambiental, Inc.",0.65,0,Public Utilities
967,ITEQ,ETF Managers Trust BlueStar TA-BIGITech Israel Technology ETF,33.06,0,n/a
968,ETSY,"Etsy, Inc.",19.16,2332045394.04,Miscellaneous
969,CLWT,Euro Tech Holdings Company Limited,3.44,7669854.96,Consumer Durables
970,EEFT,"Euronet Worldwide, Inc.",89.98,4740239439.32,Finance
971,ESEA,Euroseas Ltd.,1.8132,20260435.6992,Transportation
972,EVEP,"EV Energy Partners, L.P.",0.75,37026651.75,Energy
973,EVBG,"Everbridge, Inc.",32.24,910931237.84,Technology
974,EVK,"Ever-Glory International Group, Inc.",2.65,39209378.8,Consumer Non-Durables
975,MRAM,"Everspin Technologies, Inc.",9.07,115792572.22,Technology
976,EVLV,EVINE Live Inc.,1.2083,78857042.4483,Consumer Services
977,EVFM,"Evofem Biosciences, Inc.",8.62,153066762.3,Health Care
978,EVGN,Evogene Ltd.,3.68,94762012.96,Basic Industries
979,EVOK,"Evoke Pharma, Inc.",2.67,41154338.7,Health Care
980,EVOL,"Evolving Systems, Inc.",5.5,68903488.5,Technology
981,EXAS,Exact Sciences Corporation,49.6,5938627889.6,Health Care
982,EXAC,"Exactech, Inc.",50.15,723356779.6,Health Care
983,XELA,"Exela Technologies, Inc.",5.57,880903966.4,Miscellaneous
984,EXEL,"Exelixis, Inc.",30.66,9070859418.6,Health Care
985,EXFO,EXFO Inc,4.6,107053159.6,Capital Goods
986,EXLS,"ExlService Holdings, Inc.",61.12,2074594570.88,Miscellaneous
987,EXPE,"Expedia, Inc.",129.11,19688629708.22,Consumer Services
988,EXPD,"Expeditors International of Washington, Inc.",64.57,11474273024.5,Transportation
989,EXPO,"Exponent, Inc.",75.2,1940968324.8,Consumer Services
990,ESRX,Express Scripts Holding Company,78.1,44233731300,Health Care
991,XOG,"Extraction Oil & Gas, Inc.",14.34,2461736614.8,Energy
992,EXTR,"Extreme Networks, Inc.",14.82,1680885867.18,Technology
993,EYEG,"Eyegate Pharmaceuticals, Inc.",1.04,17892969.12,Health Care
994,EYEGW,"Eyegate Pharmaceuticals, Inc.",0.17,0,Health Care
995,EYEN,"Eyenovia, Inc.",9.11,90523983.81,Health Care
996,EZPW,"EZCORP, Inc.",13.5,734373040.5,Consumer Services
997,FFIV,"F5 Networks, Inc.",145.03,8969273607.92,Technology
998,FB,"Facebook, Inc.",193.09,561082611151.32,Technology
999,DAVE,"Famous Dave&#39;s of America, Inc.",6.1,44992361.7,Consumer Services
1000,FANH,Fanhua Inc.,29.77,1088041223.88,Finance
1001,FARM,Farmer Brothers Company,31.5,530563005,Consumer Non-Durables
1002,FMAO,"Farmers & Merchants Bancorp, Inc.",40.28,373261709.28,Finance
1003,FFKT,Farmers Capital Bank Corporation,39.65,298081047.55,Finance
1004,FMNB,Farmers National Banc Corp.,14.95,411783517.6,Finance
1005,FARO,"FARO Technologies, Inc.",53,885691056,Capital Goods
1006,FAST,Fastenal Company,54.5,15673738712,Consumer Services
1007,FAT,FAT Brands Inc.,8.18,81800000,Consumer Services
1008,FATE,"Fate Therapeutics, Inc.",9.33,388927534.35,Health Care
1009,FBSS,"Fauquier Bankshares, Inc.",21.98,82703640.46,Finance
1010,FCRE,FC Global Realty Incorporated,0.86,4506682.08,Health Care
1011,FSAC,Federal Street Acquisition Corp.,9.71,558325000,Finance
1012,FSACU,Federal Street Acquisition Corp.,10.25,0,Finance
1013,FSACW,Federal Street Acquisition Corp.,1.2442,0,Finance
1014,FNHC,Federated National Holding Company,14.66,191361099.46,Finance
1015,FENC,Fennec Pharmaceuticals Inc.,8.83,162572423.59,Health Care
1016,GSM,Ferroglobe PLC,14.76,2537933749.56,Capital Goods
1017,FFBW,"FFBW, Inc.",11.06,73134250,Finance
1018,FCSC,Fibrocell Science Inc,0.66,17094000,Health Care
1019,FGEN,"FibroGen, Inc",59.35,4878420378.65,Health Care
1020,FDBC,"Fidelity D & D Bancorp, Inc.",47.2,176054961.6,Finance
1021,ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,290.2,1540932980,n/a
1022,LION,Fidelity Southern Corporation,24.21,649647363.24,Finance
1023,FDUS,Fidus Investment Corporation,14.59,357351119.2,n/a
1024,FRGI,"Fiesta Restaurant Group, Inc.",18.8,509237367.2,Consumer Services
1025,FITB,Fifth Third Bancorp,33.66,23353476300,Finance
1026,FITBI,Fifth Third Bancorp,28.05,504900000,Finance
1027,FNGN,"Financial Engines, Inc.",28.8,1823543366.4,Finance
1028,FISI,"Financial Institutions, Inc.",32.3,514236122.9,Finance
1029,FNSR,Finisar Corporation,17.99,2051293253.17,Technology
1030,FNJN,"Finjan Holdings, Inc.",1.93,53475144.97,Miscellaneous
1031,FNTE,FinTech Acquisition Corp. II,9.9,236543996.7,Finance
1032,FNTEU,FinTech Acquisition Corp. II,10.49,0,Finance
1033,FNTEW,FinTech Acquisition Corp. II,1.23,0,Finance
1034,FEYE,"FireEye, Inc.",15.06,2779894978.8,Technology
1035,FBNC,First Bancorp,36.95,1095345430.5,Finance
1036,FNLC,"First Bancorp, Inc (ME)",28.32,306633865.44,Finance
1037,FRBA,First Bank,13.775,240197058.075,n/a
1038,BUSE,First Busey Corporation,31.31,1522750703.64,Finance
1039,FBIZ,"First Business Financial Services, Inc.",24.2,212077643.8,Finance
1040,FCAP,"First Capital, Inc.",37.38,124735714.32,Finance
1041,FCFS,"First Cash, Inc.",74.25,3503611509.75,Consumer Services
1042,FCNCA,"First Citizens BancShares, Inc.",438.65,5268364153.25,Finance
1043,FCBC,"First Community Bancshares, Inc.",28.12,477990115.12,Finance
1044,FCCO,First Community Corporation,21.85,146534971.1,Finance
1045,FBNK,"First Connecticut Bancorp, Inc.",25.6,408395417.6,Finance
1046,FDEF,First Defiance Financial Corp.,56.05,569299850,Finance
1047,FFBC,First Financial Bancorp.,28.8,1787589705.6,Finance
1048,FFBCW,First Financial Bancorp.,18,0,Finance
1049,FFIN,"First Financial Bankshares, Inc.",46.95,3169849344.6,Finance
1050,THFF,First Financial Corporation Indiana,46.4,567182000,Finance
1051,FFNW,"First Financial Northwest, Inc.",15.95,171437570.15,Finance
1052,FFWM,First Foundation Inc.,19.2,733589107.2,Finance
1053,FGBI,"First Guaranty Bancshares, Inc.",27,237813273,Finance
1054,FHB,"First Hawaiian, Inc.",29.02,4050793903.64,Finance
1055,INBK,First Internet Bancorp,37.5,315415387.5,Finance
1056,INBKL,First Internet Bancorp,25.7,0,Finance
1057,FIBK,"First Interstate BancSystem, Inc.",42.15,2379615679.2,Finance
1058,FRME,First Merchants Corporation,43.88,2157063483.44,Finance
1059,FMBH,"First Mid-Illinois Bancshares, Inc.",38.45,486805760.6,Finance
1060,FMBI,"First Midwest Bancorp, Inc.",25.37,2606232167.63,Finance
1061,FNWB,First Northwest Bancorp,17,201275019,Finance
1062,FSFG,"First Savings Financial Group, Inc.",64.4497,145111013.0883,Finance
1063,FSLR,"First Solar, Inc.",67.55,7054448339.4,Technology
1064,FAAR,First Trust Alternative Absolute Return Strategy ETF,29.573,7393309.146,n/a
1065,FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,37.5799,62006910.1598,n/a
1066,BICK,First Trust BICK Index Fund,32.7699,257243780.5398,n/a
1067,FBZ,First Trust Brazil AlphaDEX Fund,17.28,10368034.56,n/a
1068,FTHI,First Trust BuyWrite Income ETF,23.5997,58390401.3397,n/a
1069,FCAL,First Trust California Municipal High income ETF,50.4,10080100.8,n/a
1070,FCAN,First Trust Canada AlphaDEX Fund,26.66,6665053.32,n/a
1071,FTCS,First Trust Capital Strength ETF,53.65,732322607.3,n/a
1072,FCEF,First Trust CEF Income Opportunity ETF,22.177,34485235,n/a
1073,FCA,First Trust China AlphaDEX Fund,32.9718,9891605.9436,n/a
1074,SKYY,First Trust Cloud Computing ETF,49.33,1502098598.66,n/a
1075,RNDM,First Trust Developed International Equity Select ETF,54.3598,13590058.7196,n/a
1076,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,66.2,1009682400,n/a
1077,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,47.2597,14178004.5194,n/a
1078,FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,27.6,409860055.2,n/a
1079,FV,First Trust Dorsey Wright Focus 5 ETF,29.64,2710578059.28,n/a
1080,IFV,First Trust Dorsey Wright International Focus 5 ETF,23.73,989541047.46,n/a
1081,DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,29.8983,29898359.7966,n/a
1082,FEM,First Trust Emerging Markets AlphaDEX Fund,30.41,544339060.82,n/a
1083,RNEM,First Trust Emerging Markets Equity Select ETF,58.4126,5841376.8252,n/a
1084,FEMB,First Trust Emerging Markets Local Currency Bond ETF,43.95,48345087.9,n/a
